mcc,mnc,iso,country,country code,network
310,897,us,USA,1,Verizon Wireless
312,110,us,USA,1,Verizon Wireless
310,289,us,USA,1,Verizon Wireless
311,483,us,USA,1,Verizon Wireless
312,480,us,USA,1,Verizon Wireless
310,770,us,USA,1,Verizon Wireless
311,894,us,USA,1,Verizon Wireless
312,895,us,USA,1,Verizon Wireless
310,280,us,USA,1,Verizon Wireless
311,286,us,USA,1,Verizon Wireless
310,271,us,USA,1,Verizon Wireless
311,277,us,USA,1,Verizon Wireless
312,283,us,USA,1,Verizon Wireless
310,591,us,USA,1,Verizon Wireless
311,597,us,USA,1,Verizon Wireless
312,598,us,USA,1,Verizon Wireless
312,489,us,USA,1,Verizon Wireless
311,013,us,USA,1,Verizon Wireless
312,274,us,USA,1,Verizon Wireless
310,482,us,USA,1,Verizon Wireless
311,488,us,USA,1,Verizon Wireless
310,893,us,USA,1,Verizon Wireless
311,899,us,USA,1,Verizon Wireless
312,910,us,USA,1,Verizon Wireless
310,285,us,USA,1,Verizon Wireless
311,390,us,USA,1,Verizon Wireless
312,485,us,USA,1,Verizon Wireless
310,276,us,USA,1,Verizon Wireless
311,282,us,USA,1,Verizon Wireless
312,288,us,USA,1,Verizon Wireless
310,596,us,USA,1,Verizon Wireless
311,890,us,USA,1,Verizon Wireless
312,891,us,USA,1,Verizon Wireless
312,594,us,USA,1,Verizon Wireless
310,012,us,USA,1,Verizon Wireless
311,273,us,USA,1,Verizon Wireless
312,279,us,USA,1,Verizon Wireless
310,004,us,USA,1,Verizon Wireless
310,487,us,USA,1,Verizon Wireless
311,593,us,USA,1,Verizon Wireless
310,898,us,USA,1,Verizon Wireless
310,350,us,USA,1,Verizon Wireless
311,484,us,USA,1,Verizon Wireless
312,481,us,USA,1,Verizon Wireless
310,820,us,USA,1,Verizon Wireless
311,895,us,USA,1,Verizon Wireless
312,896,us,USA,1,Verizon Wireless
310,281,us,USA,1,Verizon Wireless
311,287,us,USA,1,Verizon Wireless
310,272,us,USA,1,Verizon Wireless
311,278,us,USA,1,Verizon Wireless
312,284,us,USA,1,Verizon Wireless
310,592,us,USA,1,Verizon Wireless
311,598,us,USA,1,Verizon Wireless
312,599,us,USA,1,Verizon Wireless
312,590,us,USA,1,Verizon Wireless
311,110,us,USA,1,Verizon Wireless
312,275,us,USA,1,Verizon Wireless
310,483,us,USA,1,Verizon Wireless
311,489,us,USA,1,Verizon Wireless
